power;Russian2;Russian1;English1;English2
3;тысяч;тысяч;thousand;thousand
6;миллион;миллион;million;million
9;миллиард;миллиард;billion;milliard
12;триллион;биллион;trillion;billion
15;квадриллион;биллиард;quadrillion;billiard
18;квинтиллион;триллион;quintillion;trillion
21;секстиллион;триллиард;sextillion;trilliard
24;септиллион;квадриллион;septillion;quadrillion
27;октиллион;квадриллиард;octillion;quadrilliard
30;нониллион;квинтиллион;nonillion;quintillion
33;дециллион;квинтиллиард;decillion;quintilliard
36;ундециллион;секстиллион;undecillion;sextillion
39;дуодециллион;секстиллиард;duodecillion;sextilliard
42;тредециллион;септиллион;tredecillion;septillion
45;кваттуордециллион;септиллиард;quattuordecillion;septilliard
48;квиндециллион;октиллион;quindecillion;octillion
51;сексдециллион/седециллион;октиллиард;sedecillion;octilliard
54;септдециллион/септендециллион;нониллион;septendecillion;nonillion
57;октодециллион/дуодевигинтиллион;нониллиард;octodecillion;nonilliard
60;новемдециллион/ундевигинтиллион;дециллион;novendecillion;decillion
